CHILD|PARENT
161000|161000
161001|161001
161002|161015
161003|161003
161004|161004
161007|161007
161008|161008
161009|161009
161010|161014
161011|161011
161012|161012
161013|161013
161014|161014
161015|161015
161016|161016
161017|161017
161018|161018
161019|161000
161020|161020
161021|161021
161024|161024
161030|161015
161031|161017
161032|161011
161033|161012
161034|161009
161035|161024
161044|161044
161045|161015
161046|1002926
161047|1002936
161048|1002950
161049|1000009
161050|1001365
161051|1001366
161052|161052
161053|1003654
161054|161054
161055|161055
161056|161056
161057|161057
161058|161058
161059|161059
161060|161060
161061|161061
161062|161062
161063|161063
161065|161065
161066|161066
161067|161066
161068|161068
161069|161069
161070|161070
161071|161071
161072|161072
161073|161072
161074|161071
161075|161075
161076|161076
161077|161075
161078|161076
161079|161079
161080|161079
161081|161081
161082|161082
161083|161083
161084|161084
161085|161085
161086|161000
161087|161063
161088|161088
161089|161089
161090|161090
161091|161091
161092|161000
161093|161093
161094|161094
161095|161095
161096|161096
161097|161097
161098|161000
161099|161072
161100|161001
161101|161013
161102|161044
161103|161011
161104|161012
161105|161095
161106|161066
161107|161068
161108|161095
161109|161109
161111|161112
161112|161112
161113|161018
161114|161114
161122|161015
161123|161007
161125|161125
161126|161126
161129|161129
161130|161130
161131|161131
161132|161066
161133|161068
161134|161071
161135|161135
161136|161136
161137|161136
161141|161071
161142|161013
161143|161007
161144|161144
161145|161066
161146|161068
161147|1004416
161148|1004417
161149|161095
161152|161152
161153|161153
161154|161154
161155|161155
1000009|1000009
1000049|1000049
1000195|1000195
1000280|1000280
1000858|1000858
1001365|1001365
1001366|1001366
1002313|1002313
1002926|1002926
1002927|1002927
1002930|1002930
1002931|1002931
1002936|1002936
1002950|1002950
1003043|1003043
1003096|1003096
1003418|1003418
1003570|1003570
1003654|1003654
1003842|1003842
1003914|1003914
1003993|1003993
1003994|1003994
1003998|1003998
1003999|1003999
1004074|1003993
1004212|1004212
1004213|1004213
1004266|1004266
1004268|1004266
1004302|1004302
1004303|1004302
1004326|1004326
1004331|1004331
1004332|1004331
1004333|1004333
1004334|1004334
1004337|1004337
1004338|1004338
1004343|1003993
1004344|1003993
1004345|1003994
1004346|1003994
1004347|1004347
1004357|1004357
1004358|1004358
1004359|1004359
1004360|1004359
1004361|1004358
1004362|1004362
1004364|1004364
1004374|1004374
1004375|1004375
1004378|1004378
1004379|1004379
1004380|1004380
1004381|1004380
1004382|1004382
1004384|161009
1004385|1004385
1004387|1004387
1004388|1004388
1004390|1004390
1004391|1004391
1004396|1004396
1004398|1004398
1004401|1004398
1004404|1004404
1004411|1004411
1004412|1004411
1004413|1004413
1004414|1004414
1004416|1004416
1004417|1004417
1004447|161112
161005|161005
161006|161006
161022|161022
161023|161023
161025|161025
161026|161026
161027|161027
161028|161028
161029|161029
161036|161027
161037|161026
161038|161025
161039|161028
161040|161022
161041|161023
161042|161005
161043|161043
161064|161064
161115|161115
161116|161116
161117|161117
161118|161118
161119|161119
161121|161121
161127|161115
161138|161115
161139|161117
161140|161140
1004317|1004317
161150|161150
161151|161150
161120|161120
161128|161117
161156|161156
161158|161158
161157|161157
161203|161203
161163|161162
161162|161162
161164|161009
161174|161117
161175|161118
161176|161119
161177|161177
161180|161180
161178|161178
161179|161179
161181|161121
161184|161115
161182|161115
161186|161186
161187|161187
152762|152762
152761|152762
151295|151295
151300|151300
150437|150437
150436|150437
150438|150438
151048|150438
151054|151054
151053|151053
151534|151534
151535|151535
151401|151401
161159|161159
161160|161160
161161|161161
161188|161188
161189|161189
161190|161190
161191|161191
161192|161192
161193|161193
161194|161194
161200|161200
161201|161201
161202|161202
161204|161204
151888|151857
151857|151857
151866|161097
151865|161082
151889|161082
151650|151650
151863|152762
151873|161000
151894|151894
161185|161065
151001|161093
150439|150439
151883|151883
161165|161165
161183|161183
161171|161171
161167|161167
161166|161166
161173|161173
161172|161172
161124|161124
161198|161198
161169|161169
161197|161197
161196|161196
161195|161195
161168|161168
161199|161199
161170|161170
150661|150661
151980|151980
151862|151862
151856|151856
151855|151855
151854|151854
151861|151861
